# Region type : patch outlet
# Faces       : 2
# Area        : 1.100000e-06
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.05          	(2.199992e-08 -1.163869e-13 0.000000e+00)
0.1           	(2.200072e-08 8.473688e-14 0.000000e+00)
0.15          	(2.200061e-08 7.473371e-14 0.000000e+00)
0.2           	(2.200048e-08 6.189131e-14 0.000000e+00)
0.25          	(2.200036e-08 5.156445e-14 0.000000e+00)
0.3           	(2.200024e-08 4.300750e-14 0.000000e+00)
0.35          	(2.200013e-08 3.575656e-14 0.000000e+00)
0.4           	(2.200003e-08 2.951049e-14 0.000000e+00)
0.45          	(2.199994e-08 2.407745e-14 0.000000e+00)
0.5           	(2.199986e-08 1.934596e-14 0.000000e+00)
0.55          	(2.199979e-08 1.520220e-14 0.000000e+00)
0.6           	(2.199972e-08 1.148113e-14 0.000000e+00)
0.65          	(2.199965e-08 8.284596e-15 0.000000e+00)
0.7           	(2.199959e-08 5.481350e-15 0.000000e+00)
0.75          	(2.199954e-08 3.027742e-15 0.000000e+00)
0.8           	(2.199949e-08 9.140260e-16 0.000000e+00)
0.85          	(2.199944e-08 -9.136054e-16 0.000000e+00)
0.9           	(2.199939e-08 -2.464433e-15 0.000000e+00)
0.95          	(2.199935e-08 -3.815909e-15 0.000000e+00)
1             	(2.199930e-08 -5.234066e-15 0.000000e+00)
1.05          	(2.199926e-08 -6.564041e-15 0.000000e+00)
1.1           	(2.199922e-08 -7.671596e-15 0.000000e+00)
1.15          	(2.199918e-08 -8.617480e-15 0.000000e+00)
1.2           	(2.199914e-08 -9.408159e-15 0.000000e+00)
1.25          	(2.199910e-08 -1.006113e-14 0.000000e+00)
1.3           	(2.199907e-08 -1.059265e-14 0.000000e+00)
1.35          	(2.199903e-08 -1.101849e-14 0.000000e+00)
1.4           	(2.199899e-08 -1.135189e-14 0.000000e+00)
1.45          	(2.199896e-08 -1.166104e-14 0.000000e+00)
1.5           	(2.199893e-08 -1.180086e-14 0.000000e+00)
1.55          	(2.199890e-08 -1.196639e-14 0.000000e+00)
1.6           	(2.199887e-08 -1.206731e-14 0.000000e+00)
